name,formatted_address,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code_prefix,lat,lng
Gillespie's Garden,"1043 Brantford Hwy, Cambridge, ON N1R 5S6, Canada",1043,Brantford Highway,Cambridge,Waterloo Regional Municipality,Ontario,Canada,,43.3326678,-80.3126369
Hall's Apple Market,"2930 Concession 2 Rd, Maitland, ON K6V 5T1, Canada",2930,Concession 2 Road,,Leeds and Grenville United Counties,Ontario,Canada,,44.6297195,-75.6604284
Heeman Greenhouses & Strawberry Farm,"20422 Nissouri Rd, Thorndale, ON N0M 2P0, Canada",20422,Nissouri Road,Thorndale,Middlesex County,Ontario,Canada,,43.0401743,-81.125462
Herrle's Country Farm Market,"1243 Erbs Rd, St. Agatha, ON N0B 2L0, Canada",1243,Erbs Road,Saint Agatha,Waterloo Regional Municipality,Ontario,Canada,,43.4393714,-80.59992179999999
Hillsview Greenhouses & Market Produce,"37106 Belgrave Rd, Lucknow, ON N0G 2H0, Canada",37106,Belgrave Road,Lucknow,Huron County,Ontario,Canada,,43.894892,-81.558453
Have Fun @ Howells,"2878 Holland Rd, Thorold, ON L0S 1E6, Canada",2878,Holland Road,Thorold,Niagara Regional Municipality,Ontario,Canada,,43.0780852,-79.272555
Hugli's Blueberry Ranch,"2139 Greenwood Rd, Pembroke, ON K8A 6W2, Canada",2139,Greenwood Road,Pembroke,Renfrew County,Ontario,Canada,,45.780678,-77.05135790000001
Jakeman's Maple Products,"454414 Trillium Line, Beachville, ON N0J 1A0, Canada",454414,Trillium Line,Beachville,Oxford County,Ontario,Canada,,43.06413750000001,-80.77582989999999
Janssens Farm Market & U Pick,"5885 Falconbridge Dr, Appin, ON N0L 1A0, Canada",5885,Falconbridge Drive,Appin,Middlesex County,Ontario,Canada,,42.8272336,-81.62638319999999
Johnston's Cranberry Marsh / Muskoka Lakes Winery,"1074 Cranberry Rd, Bala, ON P0C 1A0, Canada",1074,Cranberry Road,Bala,Muskoka District Municipality,Ontario,Canada,,45.0573909,-79.64658879999999
Kurtz Orchards Market,"16006 Niagara Pkwy, Niagara-on-the-Lake, ON L0S 1J0, Canada",16006,Niagara Parkway,Niagara-on-the-Lake,Niagara Regional Municipality,Ontario,Canada,,43.2356842,-79.0638536
Lindley's Farm & Market Ltd.,"900 Fiddlers Green Rd, Ancaster, ON L9G 3L1, Canada",900,Fiddlers Green Road,Hamilton,Hamilton Division,Ontario,Canada,,43.1895951,-79.9786493
McGregor's Produce,"351 Lochwinnoch Rd, Braeside, ON K0A 1G0, Canada",351,Lochwinnoch Road,Braeside,Renfrew County,Ontario,Canada,,45.4825161,-76.51974860000001
Nokara Farms,"1090 Lakeshore Rd W, St. Catharines, ON L2R 6P9, Canada",1090,Lakeshore Road West,Saint Catharines,Niagara Regional Municipality,Ontario,Canada,,43.1876938,-79.2984622
Orchalaw Farms,"9726 Heritage Rd, Brampton, ON L6X, Canada",9726,Heritage Road,Brampton,Peel Regional Municipality,Ontario,Canada,L6X,43.6509609,-79.8315239
Springridge Farm,"7256 Bell School Line, Milton, ON L9T 2Y1, Canada",7256,Bell School Line,Milton,Halton Regional Municipality,Ontario,Canada,,43.4819857,-79.9041063
The Apple Factory,"10024 Mississauga Rd, Brampton, ON L7A 0B5, Canada",10024,Mississauga Road,Brampton,Peel Regional Municipality,Ontario,Canada,,43.6670352,-79.8299691
Willowtree Farm Market,"975 Durham Regional Rd 21, Port Perry, ON L9L 1B5, Canada",975,Durham Regional Road 21,Port Perry,Durham Regional Municipality,Ontario,Canada,,44.077726,-78.98349619999999
Peach Country Farm Market,"4490 Victoria Ave, Vineland Station, ON L0R 2E0, Canada",4490,Victoria Avenue,Lincoln,Niagara Regional Municipality,Ontario,Canada,,43.1696051,-79.3939479
Thatcher Farms,"5727 5th Line, Guelph/Eramosa, ON N0B, Canada",5727,5th Line,,Wellington County,Ontario,Canada,N0B,43.656878,-80.1978731
VG Meats,"966 Concession 6 Woodhouse, Norfolk County, ON N0E, Canada",966,Concession 6 Woodhouse,,Norfolk County,Ontario,Canada,N0E,42.8466718,-80.2205559
Mountain Orchards,"10175 Clark Rd, Mountain, ON K0E 1S0, Canada",10175,Clark Road,Mountain,"Stormont, Dundas and Glengarry United Counties",Ontario,Canada,,45.024634,-75.52605799999999
Reesor Farm Market,"10825 Ninth Line, Markham, ON L6B 1A8, Canada",10825,Ninth Line,Markham,York Regional Municipality,Ontario,Canada,,43.9348923,-79.2487668
William's Orchard,"10101 Hume Ct, Milton, ON L9T 2X9, Canada",10101,Hume Court,Milton,Halton Regional Municipality,Ontario,Canada,,43.5723066,-79.9409287
Vail's Orchards,"205790 ON-26, Meaford, ON N4L 1C5, Canada",205790,Ontario 26,Meaford,Grey County,Ontario,Canada,,44.6116514,-80.63952809999999
Trembling Aspens Herb Farm,"9689 Concession Rd 3, Caistor Centre, ON L0R 1E0, Canada",9689,Concession Road 3,Caistor Centre,,Ontario,Canada,,43.0837474,-79.7242973
Creasy's Apple Dabble Farm,"8 County Rd 4, Prince Edward, ON K0K, Canada",8,County Road 4,Prince Edward,Prince Edward County,Ontario,Canada,K0K,44.0046792,-77.15237549999999
White Feather Country Store,"15 Raglan Rd E, Oshawa, ON L1H 7K4, Canada",15,Raglan Road East,Oshawa,Durham Regional Municipality,Ontario,Canada,,44.017911,-78.9250689
Floralane Produce,"2191 Arthur St N, Elmira, ON N3B 2Z1, Canada",2191,Arthur Street North,Elmira,Waterloo Regional Municipality,Ontario,Canada,,43.6324341,-80.5500486
Franklin Farm Herbals and Market,"1453 Fleetwood Rd, Bethany, ON L0A 1A0, Canada",1453,Fleetwood Road,Kawartha Lakes,Kawartha Lakes Division,Ontario,Canada,,44.2329918,-78.58268149999999
Dixie Orchards,"14309 Dixie Rd, Kleinburg, ON L7C 2M5, Canada",14309,Dixie Road,Caledon,Peel Regional Municipality,Ontario,Canada,,43.8080714,-79.8541295
Brambleberry Farm,"9 Mitchell Rd, Wooler, ON K0K 3M0, Canada",9,Mitchell Road,Quinte West,Hastings County,Ontario,Canada,,44.1852431,-77.6692119
Round the Bend Farm,"16225 Jane St, King City, ON L7B 1A3, Canada",16225,Jane Street,King City,York Regional Municipality,Ontario,Canada,,44.0018171,-79.5726116
Bonnieheath Estate Lavender & Winery,"Waterford, ON N0E, Canada",,,Waterford,Norfolk County,Ontario,Canada,N0E,42.9316056,-80.2895832
Debackere Farms Inc.,"5013 Yarmouth Centre Rd, Union, ON N0L 2L0, Canada",5013,Yarmouth Centre Road,Union,Elgin County,Ontario,Canada,,42.677836,-81.1286508
The Poultry Place,"1010 Three Bridges Rd, St. Jacobs, ON N0B 2N0, Canada",1010,Three Bridges Road,Saint Jacobs,Waterloo Regional Municipality,Ontario,Canada,,43.51787179999999,-80.57000169999999
19th Ave. Farmers Market,"2931 19th Ave, Markham, ON L6C 1L7, Canada",2931,19th Avenue,Markham,York Regional Municipality,Ontario,Canada,,43.9215283,-79.3788719
f.N. Happy Farm,"439 Feasby Rd, Uxbridge, ON L9P 1R1, Canada",439,Feasby Road,Uxbridge,Durham Regional Municipality,Ontario,Canada,,44.1108024,-79.1907667
Theadora's Orchard,"5210 King St, Beamsville, ON L0R 1B3, Canada",5210,King Street,Lincoln,Niagara Regional Municipality,Ontario,Canada,,43.1693071,-79.4874356
Kent Kreek Berries,"3173 ON-3, Simcoe, ON N3Y 4J9, Canada",3173,Highway 3,Simcoe,Norfolk County,Ontario,Canada,,42.8356146,-80.3645602
Berryview Farm,"13707 Heart Lake Rd, Inglewood, ON L7C 2K6, Canada",13707,Heart Lake Road,Caledon,Peel Regional Municipality,Ontario,Canada,,43.7852792,-79.8471682
Harris Flower Farm,"42488 Ron McNeil Line, St. Thomas, ON N5P 3T1, Canada",42488,Ron McNeil Line,Saint Thomas,Elgin County,Ontario,Canada,,42.8152607,-81.1904284
Speers Farms Amaranth,"Orangeville, ON, Canada",,,Orangeville,Dufferin County,Ontario,Canada,,43.9199788,-80.0943113
Orchard Home Farm,"235 Howell Rd, Saint George, ON N0E 1N0, Canada",235,Howell Road,Saint George,Brant County,Ontario,Canada,,43.2561499,-80.27619519999999
Johnston's Farm Market,"10704 Northumberland County Rd 28, Bailieboro, ON K0L 1B0, Canada",10704,Northumberland County Road 28,Bailieboro,Northumberland County,Ontario,Canada,,44.1149603,-78.34478320000001
Busy Liz's Farm Shop,"8405 Guelph Line, Milton, ON L0P, Canada",8405,Guelph Line,Milton,Halton Regional Municipality,Ontario,Canada,L0P,43.4773339,-79.96815749999999
Oaklane Orchard,"496445 Grey County Rd 2, Clarksburg, ON N0H 1J0, Canada",496445,Grey County Road 2,The Blue Mountains,Grey County,Ontario,Canada,,44.50592959999999,-80.42567729999999
Cheer Farms,"Brighton, ON, Canada",,,Brighton,Northumberland County,Ontario,Canada,,44.0422599,-77.73688279999999
Delhaven Orchards Ltd.,"8182 Talbot Trail, Blenheim, ON N0P 1A0, Canada",8182,Talbot Trail,Chatham-Kent,Chatham-Kent Division,Ontario,Canada,,42.2597739,-82.05995449999999
Farmtown Canada,"46703 Mapleton Line, Aylmer, ON N5H 2R6, Canada",46703,Mapleton Line,Aylmer,Elgin County,Ontario,Canada,,42.8226023,-81.0670547
Breedon's Maple Syrup,"Alliston, New Tecumseth, ON, Canada",,,New Tecumseth,Simcoe County,Ontario,Canada,,44.1539514,-79.8691544
Frank E.'s,"1936 Regional Rd 4, Vanessa, ON N0E 1V0, Canada",1936,Regional Road 4,Vanessa,Norfolk County,Ontario,Canada,,42.9663006,-80.39660409999999
Thiessen Orchards Ltd.,"400 Talbot Rd E, Leamington, ON N8H 3V6, Canada",400,Talbot Road East,Leamington,Essex County,Ontario,Canada,,42.0633688,-82.55796389999999
Rose Family Farm,"17569 Centre St, Mount Albert, ON L0G 1M0, Canada",17569,Centre Street,Mount Albert,York Regional Municipality,Ontario,Canada,,44.09865749999999,-79.29644119999999
Sheldon Creek Dairy,"4316 Concession 5, Loretto, ON L0G 1L0, Canada",4316,Concession 5,Loretto,Simcoe County,Ontario,Canada,,44.0997151,-79.92039969999999
Abbey Gardens Community Trust,"Garden Gate Dr, Algonquin Highlands, ON K0M 1J1, Canada",,Garden Gate Drive,,Haliburton County,Ontario,Canada,,45.1052755,-78.6168229
Fisherville Greenhouses,"Concession 5 Rd, Fisherville, ON N0A 1G0, Canada",,Concession 5 Road,Fisherville,Haldimand County,Ontario,Canada,,42.8822367,-79.89918
Foster Family Farm,"2132 Lockhead Rd W, North Gower, ON K0G 1J0, Canada",2132,Lockhead Road West,Ottawa,Ottawa Division,Ontario,Canada,,45.1219938,-75.6825094
Trillium Ridge Sugarworks,"254 Maple Sugar Rd, Shannonville, ON K0K 3A0, Canada",254,Maple Sugar Road,Shannonville,Hastings County,Ontario,Canada,,44.3420044,-77.1725898
Steward's Blueberries,"238 Brant County Hwy 53, Brant, ON N0E, Canada",238,Brant County Highway 53,Brant,Brant County,Ontario,Canada,N0E,43.100773,-80.445405
Marci Lipman Country,"487280 30 Side Rd, Shelburne, ON L0N 1S8, Canada",487280,30 Side Road,Shelburne,Dufferin County,Ontario,Canada,,44.0894292,-80.0958193
Wilson's Fresh Blueberries,"61 Settlement Rd, Lindsay, ON K9V 4R5, Canada",61,Settlement Road,Lindsay,Kawartha Lakes Division,Ontario,Canada,,44.4209411,-78.5227925
Talbotville Berry Farm,"11054 Sunset Dr, St. Thomas, ON N5P 3T2, Canada",11054,Sunset Drive,Saint Thomas,Elgin County,Ontario,Canada,,42.81126099999999,-81.2565218
Goldsmith's Orchard Market,"207600 ON-26, Thornbury, ON N0H 2P0, Canada",207600,Ontario 26,The Blue Mountains,Grey County,Ontario,Canada,,44.571278,-80.4765855
Serenity Lavender,"Southwestern Ontario Heritage Village, Essex, ON N0R, Canada",,,Essex,Essex County,Ontario,Canada,N0R,42.031929,-82.915123
Munro Honey & Meadery,"3115 River St, Alvinston, ON N0N 1A0, Canada",3115,River Street,Alvinston,Lambton County,Ontario,Canada,,42.812798,-81.858671
Fresh and Tasty Mushrooms,"475226 Dufferin County Road 11, Shelburne, ON L0N 1S0, Canada",475226,Dufferin County Road 11,Shelburne,Dufferin County,Ontario,Canada,,44.03279089999999,-80.1925995
South Pond Farms,"1020 Gray Rd, Pontypool, ON L0A 1K0, Canada",1020,Gray Road,Kawartha Lakes,Kawartha Lakes Division,Ontario,Canada,,44.1586143,-78.6076872
Arrowwood Farm,"6460 Riverside Dr, Melbourne, ON N0L 1T0, Canada",6460,Riverside Drive,Melbourne,Middlesex County,Ontario,Canada,,42.7777124,-81.51139289999999
Barrett's Christmas Tree Farm,"3141 Williamson Rd, Cobourg, ON K9A 4J7, Canada",3141,Williamson Road,Cobourg,Northumberland County,Ontario,Canada,,44.01677360000001,-78.2311661
Masse Fruit and Vegetable Farm,"35291 Zurich Hensall Rd, Zurich, ON N0M 2T0, Canada",35291,Zurich Hensall Road,Zurich,Huron County,Ontario,Canada,,43.41280039999999,-81.700041
Berrylicious Fruit Farm,"425533 Substation Rd, Burgessville, ON N0J 1C0, Canada",425533,Substation Road,Burgessville,Oxford County,Ontario,Canada,,43.0576757,-80.64448469999999
Windwood Farms,"4198 King St, Beamsville, ON L0R 1B1, Canada",4198,King Street,Lincoln,Niagara Regional Municipality,Ontario,Canada,,43.1587803,-79.4341434
Olkaga Country Market,"402346 Grey County Rd 4, Hanover, ON N4N 3B8, Canada",402346,Grey County Road 4,Hanover,Grey County,Ontario,Canada,,44.1726857,-80.8975365
Thompson's Orchard,"19863 Charing Cross Rd, Blenheim, ON N0P 1A0, Canada",19863,Charing Cross Road,Chatham-Kent,Chatham-Kent Division,Ontario,Canada,,42.2946186,-82.0490062
Lake Land Meats & Farm Market,"1226 St Paul St W, St. Catharines, ON L2R 6P7, Canada",1226,Saint Paul Street West,Saint Catharines,Niagara Regional Municipality,Ontario,Canada,,43.141214,-79.27962
Blueberry Knoll Berry Farm,"1090 Hutchinson Rd, Lowbanks, ON N0A 1K0, Canada",1090,Hutchinson Road,Lowbanks,Haldimand County,Ontario,Canada,,42.9218462,-79.5109609
Landman Gardens & Bakery,"322345 Concession Rd 5, Grand Valley, ON L0N 1G0, Canada",322345,Concession Road 5,Grand Valley,Dufferin County,Ontario,Canada,,43.92631069999999,-80.3088958
Oak Knoll Farms,"5754 3 Line, Hillsburgh, ON N0B 1Z0, Canada",5754,3 Line,Erin,Wellington County,Ontario,Canada,,43.7233198,-80.14942649999999
Pine Hill Orchards,"1818 Saint Félix Road, Bourget, ON K0A 1E0, Canada",1818,Saint Félix Road,Clarence-Rockland,Prescott and Russell United Counties,Ontario,Canada,,45.418582,-75.17761209999999
Greenshire Eco Farms Inc.,"1563 Pigeon Lake Rd, Lindsay, ON K9V 4R5, Canada",1563,Pigeon Lake Road,Lindsay,Kawartha Lakes Division,Ontario,Canada,,44.39990479999999,-78.5334194
Mitchdale Farms,"96 Ontario St S, St. Marys, ON N4X, Canada",96,Ontario Street South,Saint Marys,Perth County,Ontario,Canada,N4X,43.25632419999999,-81.14769679999999
Sweet Ridge Farms,"8327 Steeles Ave E, Markham, ON L6B 1A8, Canada",8327,Steeles Avenue East,Markham,,Ontario,Canada,,43.8537822,-79.1775117
Vandermeer Nursery Ltd.,"588 Lake Ridge Rd S, Ajax, ON L1Z 1X3, Canada",588,Lake Ridge Road South,Ajax,Durham Regional Municipality,Ontario,Canada,,43.8529457,-78.9795733
Crunican Orchards,"23840 Richmond St, London, ON N5X 4B2, Canada",23840,Richmond Street,London,Middlesex County,Ontario,Canada,,43.1509918,-81.3402287
Pardo's Berie Farm,"7951 Talbot Trail, Blenheim, ON N0P 1A0, Canada",7951,Talbot Trail,Chatham-Kent,Chatham-Kent Division,Ontario,Canada,,42.2597996,-82.0599688
Top Market Rabbitry,"5887 Splint Rd, Ariss, ON N0B 1B0, Canada",5887,Splint Road,Ariss,,Ontario,Canada,,43.579432,-80.4040739
Stonefield Garden Centre & Market Ltd.,"77688 Orchard Line, Bayfield, ON N0M 1G0, Canada",77688,Orchard Line,,Huron County,Ontario,Canada,,43.599638,-81.68139500000001
Meadow Lynn Farms,"144 Decou Rd, Simcoe, ON N3Y 4K2, Canada",144,Decou Road,Simcoe,Norfolk County,Ontario,Canada,,42.8235323,-80.2876565
Voisin's Maple Products Ltd.,"10 Concession Rd 12, Mildmay, ON N0G 2J0, Canada",10,Concession Road 12,Mildmay,Bruce County,Ontario,Canada,,44.0670086,-81.2167251
Apple Hill Lavender,"1795 Windham Road 11, Windham Centre, ON N0E 2A0, Canada",1795,Windham Road 11,Windham Centre,Norfolk County,Ontario,Canada,,42.89190749999999,-80.3279739
Carron Farms Ltd.,"819 Canal Rd, Bradford, ON L3Z 2A6, Canada",819,Canal Road,Bradford West Gwillimbury,Simcoe County,Ontario,Canada,,44.0439666,-79.6235662
Dyment's Farm,"416 Fallsview Rd E, Dundas, ON L9H 5E2, Canada",416,Fallsview Road East,Hamilton,Hamilton Division,Ontario,Canada,,43.2793111,-79.95613820000001
Miller's Bay Farm,"65 Rideau Ferry Rd, Lombardy, ON K0G 1L0, Canada",65,Rideau Ferry Road,Lombardy,Leeds and Grenville United Counties,Ontario,Canada,,44.83817579999999,-76.1278859
Cristan Farms,"494 Winston Churchill Blvd, Oakville, ON L6J 7X2, Canada",494,Winston Churchill Boulevard,Oakville,Halton Regional Municipality,Ontario,Canada,,43.4868616,-79.6328747
Earthly Delights,"35 Biggars Ln, Mount Pleasant, ON N0E 1K0, Canada",35,Biggars Lane,Brant,Brant County,Ontario,Canada,,43.063968,-80.29121169999999
Graham Creek Farm,"3582 Morgans Rd, Newcastle, ON L1B 1L9, Canada",3582,Morgans Road,Newcastle,Durham Regional Municipality,Ontario,Canada,,43.9636721,-78.5476439
Ferguson Farms Fresh Produce,"7994 Mill St, Campbellcroft, ON L0A 1B0, Canada",7994,Mill Street,Campbellcroft,Northumberland County,Ontario,Canada,,44.0570051,-78.4036074
Strickland's Perennial Farm,"5467 Middle Rd, Bowmanville, ON L1C 3K6, Canada",5467,Middle Road,Bowmanville,Durham Regional Municipality,Ontario,Canada,,43.979213,-78.72174
